Hour,date_time,Solar electricity generation,Electricity usage,z_score,Electricity_to_be_bought,excess_elec_generated,battery_charge,elec_to_buy_given_bat,cost_without_bat,cost_with_bat,saving
10,2020-01-03 10:00:00,1.086,0.897,0.0130545955267542,0,0.189,0.189,0,0,0,0
11,2020-01-03 11:00:00,0.993,0.726,0.0134025442297812,0,0.267,0.456,0,0,0,0
12,2020-01-03 12:00:00,2.031,0.36,0.0141472765415234,0,1.671,2.127,0,0,0,0
13,2020-01-03 13:00:00,3.336,0.048,0.0147821303154675,0,3.288,5.415,0,0,0,0
14,2020-01-03 14:00:00,1.044,0.225,0.0144219728860184,0,0.819,6.234,0,0,0,0
15,2020-01-03 15:00:00,0.342,2.349,0.0101000837326296,2.007,0,4.227,0,0.34119,0,0.34119
16,2020-01-03 16:00:00,0.033,2.439,0.00991695283629957,2.406,0,1.821,0,0.40902,0,0.40902
17,2020-01-03 17:00:00,0.009,2.169,0.0104663455252897,2.16,0,0,0.339,0.3672,0.05763,0.30957
18,2020-01-03 18:00:00,0,4.8114,0.00508962240903984,4.8114,0,0,4.8114,0.817938,0.817938,0
19,2020-01-03 19:00:00,0.015,15.51,0.0166797576740326,15.495,0,0,15.495,2.63415,2.63415,0
20,2020-01-03 20:00:00,0,5.9796,0.00271258337467598,5.9796,0,0,5.9796,1.016532,1.016532,0
21,2020-01-03 21:00:00,0.018,3.081,0.00861061910914532,3.063,0,0,3.063,0.52071,0.52071,0
22,2020-01-03 22:00:00,0.006,2.484,0.00982538738813456,2.478,0,0,2.478,0.42126,0.42126,0
23,2020-01-03 23:00:00,0,2.7825,0.00921800324863994,2.7825,0,0,2.7825,0.473025,0.473025,0
0,2020-01-04 00:00:00,0,1.7538246,0.0113111393379139,1.7538246,0,0,1.7538246,0.298150182,0.298150182,0
1,2020-01-04 01:00:00,0,0.889911,0.0130690201370218,0.889911,0,0,0.889911,0.15128487,0.15128487,0
2,2020-01-04 02:00:00,0,0.2919708,0.0142857015234413,0.2919708,0,0,0.2919708,0.049635036,0.049635036,0
3,2020-01-04 03:00:00,0,0.189,0.0144952252445505,0.189,0,0,0.189,0.03213,0.03213,0
4,2020-01-04 04:00:00,0,0.195,0.0144830165181285,0.195,0,0,0.195,0.03315,0.03315,0
5,2020-01-04 05:00:00,0.009,0.477,0.0139092063762943,0.468,0,0,0.468,0.07956,0.07956,0
6,2020-01-04 06:00:00,0.009,0.228,0.0144158685228074,0.219,0,0,0.219,0.03723,0.03723,0
7,2020-01-04 07:00:00,0.012,5.256,0.00418495578116946,5.244,0,0,5.244,0.89148,0.89148,0
8,2020-01-04 08:00:00,0.003,2.481,0.00983149175134556,2.478,0,0,2.478,0.42126,0.42126,0
9,2020-01-04 09:00:00,0.201,0.57,0.0137199711167533,0.369,0,0,0.369,0.06273,0.06273,0
10,2020-01-04 10:00:00,0.201,0.747,0.0133598136873042,0.546,0,0,0.546,0.09282,0.09282,0
11,2020-01-04 11:00:00,0.186,0.219,0.0144341816124404,0.033,0,0,0.033,0.00561,0.00561,0
12,2020-01-04 12:00:00,1.122,0.462,0.0139397281923494,0,0.66,0.66,0,0,0,0
13,2020-01-04 13:00:00,0.885,0.204,0.0144647034284955,0,0.681,1.341,0,0,0,0
14,2020-01-04 14:00:00,0.318,0.237,0.0143975554331744,0,0.081,1.422,0,0,0,0
15,2020-01-04 15:00:00,0.18,0.354,0.0141594852679454,0.174,0,1.248,0,0.02958,0,0.02958
16,2020-01-04 16:00:00,0.033,0.609,0.0136406143950103,0.576,0,0.672,0,0.09792,0,0.09792
17,2020-01-04 17:00:00,0.015,0.309,0.0142510507161104,0.294,0,0.378,0,0.04998,0,0.04998
18,2020-01-04 18:00:00,0.003,0.6798,0.0134965514232307,0.6768,0,0,0.2988,0.115056,0.050796,0.06426
19,2020-01-04 19:00:00,0.003,14.0184,0.0136446682855228,14.0154,0,0,14.0154,2.382618,2.382618,0
20,2020-01-04 20:00:00,0.006,3.0822,0.00860817736386092,3.0762,0,0,3.0762,0.522954,0.522954,0
21,2020-01-04 21:00:00,0.003,1.464,0.011900870879875,1.461,0,0,1.461,0.24837,0.24837,0
22,2020-01-04 22:00:00,0,1.518,0.0117909923420769,1.518,0,0,1.518,0.25806,0.25806,0
23,2020-01-04 23:00:00,0,1.491,0.0118459316109759,1.491,0,0,1.491,0.25347,0.25347,0
0,2020-01-05 00:00:00,0,0.9819018,0.0128818383852649,0.9819018,0,0,0.9819018,0.166923306,0.166923306,0
1,2020-01-05 01:00:00,0,0.659934,0.0135369745164139,0.659934,0,0,0.659934,0.11218878,0.11218878,0
2,2020-01-05 02:00:00,0,0.1319868,0.0146112350047576,0.1319868,0,0,0.1319868,0.022437756,0.022437756,0
3,2020-01-05 03:00:00,0,0.189,0.0144952252445505,0.189,0,0,0.189,0.03213,0.03213,0
4,2020-01-05 04:00:00,0,0.201,0.0144708077917065,0.201,0,0,0.201,0.03417,0.03417,0
5,2020-01-05 05:00:00,0.006,0.222,0.0144280772492294,0.216,0,0,0.216,0.03672,0.03672,0
6,2020-01-05 06:00:00,0.009,0.588,0.0136833449374873,0.579,0,0,0.579,0.09843,0.09843,0
7,2020-01-05 07:00:00,0.015,2.643,0.00950185613795149,2.628,0,0,2.628,0.44676,0.44676,0
8,2020-01-05 08:00:00,0.003,1.461,0.011906975243086,1.458,0,0,1.458,0.24786,0.24786,0
9,2020-01-05 09:00:00,0.006,0.465,0.0139336238291384,0.459,0,0,0.459,0.07803,0.07803,0
10,2020-01-05 10:00:00,0.291,0.243,0.0143853467067524,0,0.048,0.048,0,0,0,0
11,2020-01-05 11:00:00,0.372,0.234,0.0144036597963854,0,0.138,0.186,0,0,0,0
12,2020-01-05 12:00:00,1.005,0.204,0.0144647034284955,0,0.801,0.987,0,0,0,0
13,2020-01-05 13:00:00,0.921,0.456,0.0139519369187714,0,0.465,1.452,0,0,0,0
14,2020-01-05 14:00:00,2.616,0.255,0.0143609292539084,0,2.361,3.813,0,0,0,0
15,2020-01-05 15:00:00,0.288,0.234,0.0144036597963854,0,0.0540000000000001,3.867,0,0,0,0
16,2020-01-05 16:00:00,0.039,0.561,0.0137382842063863,0.522,0,3.345,0,0.08874,0,0.08874
17,2020-01-05 17:00:00,0.012,0.468,0.0139275194659273,0.456,0,2.889,0,0.07752,0,0.07752
18,2020-01-05 18:00:00,0.009,23.5224,0.0329832909379745,23.5134,0,0,20.6244,3.997278,3.506148,0.49113
19,2020-01-05 19:00:00,0.006,2.673,0.00944081250584148,2.667,0,0,2.667,0.45339,0.45339,0
20,2020-01-05 20:00:00,0.006,2.9172,0.00894391734046599,2.9112,0,0,2.9112,0.494904,0.494904,0
21,2020-01-05 21:00:00,0,1.266,0.012303758851801,1.266,0,0,1.266,0.21522,0.21522,0
22,2020-01-05 22:00:00,0.018,1.236,0.012364802483911,1.218,0,0,1.218,0.20706,0.20706,0
23,2020-01-05 23:00:00,0,0.8919108,0.0130649509685053,0.8919108,0,0,0.8919108,0.151624836,0.151624836,0
0,2020-01-06 00:00:00,0,1.287,0.012261028309324,1.287,0,0,1.287,0.21879,0.21879,0
1,2020-01-06 01:00:00,0,4.669,0.0053793761827887,4.669,0,0,4.669,0.79373,0.79373,0
2,2020-01-06 02:00:00,0,0.309969,0.0142490790067933,0.309969,0,0,0.309969,0.05269473,0.05269473,0
3,2020-01-06 03:00:00,0,0.201,0.0144708077917065,0.201,0,0,0.201,0.03417,0.03417,0
4,2020-01-06 04:00:00,0,0.195,0.0144830165181285,0.195,0,0,0.195,0.03315,0.03315,0
5,2020-01-06 05:00:00,0,1.017,0.0128104209983141,1.017,0,0,1.017,0.17289,0.17289,0
6,2020-01-06 06:00:00,0,0.579,0.0137016580271203,0.579,0,0,0.579,0.09843,0.09843,0
7,2020-01-06 07:00:00,0.012,0.333,0.0142022158104224,0.321,0,0,0.321,0.05457,0.05457,0
8,2020-01-06 08:00:00,0.003,0.72,0.0134147529562033,0.717,0,0,0.717,0.12189,0.12189,0
9,2020-01-06 09:00:00,0.684,0.798,0.0132560395127172,0.114,0,0,0.114,0.01938,0.01938,0
10,2020-01-06 10:00:00,1.407,0.291,0.0142876768953764,0,1.116,1.116,0,0,0,0
11,2020-01-06 11:00:00,1.494,0.906,0.0130362824371212,0,0.588,1.704,0,0,0,0
12,2020-01-06 12:00:00,1.854,0.627,0.0136039882157443,0,1.227,2.931,0,0,0,0
13,2020-01-06 13:00:00,1.38,0.9,0.0130484911635432,0,0.48,3.411,0,0,0,0
14,2020-01-06 14:00:00,0.465,0.909,0.0130301780739102,0.444,0,2.967,0,0.07548,0,0.07548
15,2020-01-06 15:00:00,0.342,0.258,0.0143548248906974,0,0.084,3.051,0,0,0,0
16,2020-01-06 16:00:00,0.036,0.264,0.0143426161642754,0.228,0,2.823,0,0.03876,0,0.03876
17,2020-01-06 17:00:00,0.006,0.489,0.0138847889234503,0.483,0,2.34,0,0.08211,0,0.08211
18,2020-01-06 18:00:00,0,1.3134,0.0122073099130672,1.3134,0,1.0266,0,0.223278,0,0.223278
19,2020-01-06 19:00:00,0.006,22.407,0.0307136886961243,22.401,0,0,21.3744,3.80817,3.633648,0.174522000000001
20,2020-01-06 20:00:00,0.003,4.6134,0.00549251038096592,4.6104,0,0,4.6104,0.783768,0.783768,0
21,2020-01-06 21:00:00,0.018,1.971,0.0108692334972158,1.953,0,0,1.953,0.33201,0.33201,0
22,2020-01-06 22:00:00,0.012,2.061,0.0106861026008857,2.049,0,0,2.049,0.34833,0.34833,0
23,2020-01-06 23:00:00,0,1.169883,0.0124993365447183,1.169883,0,0,1.169883,0.19888011,0.19888011,0
0,2020-01-07 00:00:00,0,0.9859014,0.012873700048232,0.9859014,0,0,0.9859014,0.167603238,0.167603238,0
1,2020-01-07 01:00:00,0,0.8159184,0.0132195793721306,0.8159184,0,0,0.8159184,0.138706128,0.138706128,0
2,2020-01-07 02:00:00,0,0.9119088,0.0130242592833408,0.9119088,0,0,0.9119088,0.155024496,0.155024496,0
3,2020-01-07 03:00:00,0,1.638,0.0115468178136369,1.638,0,0,1.638,0.27846,0.27846,0
4,2020-01-07 04:00:00,0,0.219,0.0144341816124404,0.219,0,0,0.219,0.03723,0.03723,0
5,2020-01-07 05:00:00,0.006,0.252,0.0143670336171194,0.246,0,0,0.246,0.04182,0.04182,0
6,2020-01-07 06:00:00,0.018,0.267,0.0143365118010644,0.249,0,0,0.249,0.04233,0.04233,0
7,2020-01-07 07:00:00,0.018,0.246,0.0143792423435414,0.228,0,0,0.228,0.03876,0.03876,0
8,2020-01-07 08:00:00,0.003,0.768,0.0133170831448272,0.765,0,0,0.765,0.13005,0.13005,0
9,2020-01-07 09:00:00,0.603,0.957,0.0129325082625342,0.354,0,0,0.354,0.06018,0.06018,0
10,2020-01-07 10:00:00,0.96,0.567,0.0137260754799643,0,0.393,0.393,0,0,0,0
11,2020-01-07 11:00:00,2.454,0.522,0.0138176409281293,0,1.932,2.325,0,0,0,0
12,2020-01-07 12:00:00,5.001,0.438,0.0139885630980374,0,4.563,6.888,0,0,0,0
13,2020-01-07 13:00:00,3.969,0.012,0.0148553826739995,0,3.957,10.845,0,0,0,0
14,2020-01-07 14:00:00,2.841,26.454,0.0389484746677649,23.613,0,0,12.768,4.01421,2.17056,1.84365
15,2020-01-07 15:00:00,0.264,1.659,0.0115040872711599,1.395,0,0,1.395,0.23715,0.23715,0
16,2020-01-07 16:00:00,0.048,1.965,0.0108814422236378,1.917,0,0,1.917,0.32589,0.32589,0
17,2020-01-07 17:00:00,0.009,2.508,0.00977655248244655,2.499,0,0,2.499,0.42483,0.42483,0
18,2020-01-07 18:00:00,0.012,13.8732,0.0133492171061103,13.8612,0,0,13.8612,2.356404,2.356404,0
19,2020-01-07 19:00:00,0.009,2.7786,0.00922593892081424,2.7696,0,0,2.7696,0.470832,0.470832,0
20,2020-01-07 20:00:00,0.015,1.8546,0.0111060827898026,1.8396,0,0,1.8396,0.312732,0.312732,0
21,2020-01-07 21:00:00,0.003,0.789,0.0132743526023502,0.786,0,0,0.786,0.13362,0.13362,0
22,2020-01-07 22:00:00,0.015,2.364,0.0100695619165746,2.349,0,0,2.349,0.39933,0.39933,0
23,2020-01-07 23:00:00,0,1.5765,0.0116719572594624,1.5765,0,0,1.5765,0.268005,0.268005,0
0,2020-01-08 00:00:00,0,1.5758424,0.0116732953358783,1.5758424,0,0,1.5758424,0.267893208,0.267893208,0
1,2020-01-08 01:00:00,0,0.389961,0.0140863122661351,0.389961,0,0,0.389961,0.06629337,0.06629337,0
2,2020-01-08 02:00:00,0,0.1339866,0.0146071658362412,0.1339866,0,0,0.1339866,0.022777722,0.022777722,0
3,2020-01-08 03:00:00,0,0.198,0.0144769121549175,0.198,0,0,0.198,0.03366,0.03366,0
4,2020-01-08 04:00:00,0,0.183,0.0145074339709725,0.183,0,0,0.183,0.03111,0.03111,0
5,2020-01-08 05:00:00,0.018,0.219,0.0144341816124404,0.201,0,0,0.201,0.03417,0.03417,0
6,2020-01-08 06:00:00,0.003,0.468,0.0139275194659273,0.465,0,0,0.465,0.07905,0.07905,0
7,2020-01-08 07:00:00,0.012,0.762,0.0133292918712492,0.75,0,0,0.75,0.1275,0.1275,0
8,2020-01-08 08:00:00,0,1.365,0.012102314865838,1.365,0,0,1.365,0.23205,0.23205,0
9,2020-01-08 09:00:00,0.006,0.69,0.0134757965883133,0.684,0,0,0.684,0.11628,0.11628,0
10,2020-01-08 10:00:00,0.15,0.699,0.0134574834986803,0.549,0,0,0.549,0.09333,0.09333,0
11,2020-01-08 11:00:00,0.207,0.54,0.0137810147488633,0.333,0,0,0.333,0.05661,0.05661,0
12,2020-01-08 12:00:00,0.312,0.57,0.0137199711167533,0.258,0,0,0.258,0.04386,0.04386,0
13,2020-01-08 13:00:00,0.282,1.554,0.0117177399835449,1.272,0,0,1.272,0.21624,0.21624,0
14,2020-01-08 14:00:00,0.186,0.444,0.0139763543716154,0.258,0,0,0.258,0.04386,0.04386,0
15,2020-01-08 15:00:00,0.063,1.839,0.0111378254784998,1.776,0,0,1.776,0.30192,0.30192,0
16,2020-01-08 16:00:00,0.033,0.768,0.0133170831448272,0.735,0,0,0.735,0.12495,0.12495,0
17,2020-01-08 17:00:00,0.009,0.921,0.0130057606210662,0.912,0,0,0.912,0.15504,0.15504,0
18,2020-01-08 18:00:00,0,6.5604,0.00153077865702615,6.5604,0,0,6.5604,1.115268,1.115268,0
19,2020-01-08 19:00:00,0.018,2.7126,0.00936023491145627,2.6946,0,0,2.6946,0.458082,0.458082,0
20,2020-01-08 20:00:00,0.006,2.6664,0.00945424210490568,2.6604,0,0,2.6604,0.452268,0.452268,0
21,2020-01-08 21:00:00,0.009,9.222,0.00388501238377409,9.213,0,0,9.213,1.56621,1.56621,0
22,2020-01-08 22:00:00,0,1.221,0.0123953242999661,1.221,0,0,1.221,0.20757,0.20757,0
23,2020-01-08 23:00:00,0,1.5078492,0.0118116470654377,1.5078492,0,0,1.5078492,0.256334364,0.256334364,0
0,2020-01-09 00:00:00,0,0.9919008,0.0128614925426827,0.9919008,0,0,0.9919008,0.168623136,0.168623136,0
1,2020-01-09 01:00:00,0,0.5419458,0.0137770554588847,0.5419458,0,0,0.5419458,0.092130786,0.092130786,0
2,2020-01-09 02:00:00,0,0.1219878,0.0146315808473399,0.1219878,0,0,0.1219878,0.020737926,0.020737926,0
3,2020-01-09 03:00:00,0,0.186,0.0145013296077615,0.186,0,0,0.186,0.03162,0.03162,0
4,2020-01-09 04:00:00,0,0.228,0.0144158685228074,0.228,0,0,0.228,0.03876,0.03876,0
5,2020-01-09 05:00:00,0.006,0.459,0.0139458325555604,0.453,0,0,0.453,0.07701,0.07701,0
6,2020-01-09 06:00:00,0.009,0.333,0.0142022158104224,0.324,0,0,0.324,0.05508,0.05508,0
7,2020-01-09 07:00:00,0.009,0.588,0.0136833449374873,0.579,0,0,0.579,0.09843,0.09843,0
8,2020-01-09 08:00:00,0.006,1.896,0.0110218425774908,1.89,0,0,1.89,0.3213,0.3213,0
9,2020-01-09 09:00:00,0.009,1.833,0.0111500342049218,1.824,0,0,1.824,0.31008,0.31008,0
10,2020-01-09 10:00:00,0.135,1.749,0.0113209563748298,1.614,0,0,1.614,0.27438,0.27438,0
11,2020-01-09 11:00:00,0.252,1.989,0.0108326073179498,1.737,0,0,1.737,0.29529,0.29529,0
12,2020-01-09 12:00:00,0.435,0.558,0.0137443885695973,0.123,0,0,0.123,0.02091,0.02091,0
13,2020-01-09 13:00:00,0.249,0.786,0.0132804569655612,0.537,0,0,0.537,0.09129,0.09129,0
14,2020-01-09 14:00:00,0.21,0.561,0.0137382842063863,0.351,0,0,0.351,0.05967,0.05967,0
15,2020-01-09 15:00:00,0.048,0.537,0.0137871191120743,0.489,0,0,0.489,0.08313,0.08313,0
16,2020-01-09 16:00:00,0.033,0.36,0.0141472765415234,0.327,0,0,0.327,0.05559,0.05559,0
17,2020-01-09 17:00:00,0.012,0.582,0.0136955536639093,0.57,0,0,0.57,0.0969,0.0969,0
18,2020-01-09 18:00:00,0.006,3.168,0.00843359257602629,3.162,0,0,3.162,0.53754,0.53754,0
19,2020-01-09 19:00:00,0.009,3.0162,0.00874247335450295,3.0072,0,0,3.0072,0.511224,0.511224,0
20,2020-01-09 20:00:00,0.006,2.2572,0.0102868772468862,2.2512,0,0,2.2512,0.382704,0.382704,0
21,2020-01-09 21:00:00,0.015,1.368,0.012096210502627,1.353,0,0,1.353,0.23001,0.23001,0
22,2020-01-09 22:00:00,0.006,1.383,0.012065688686572,1.377,0,0,1.377,0.23409,0.23409,0
23,2020-01-09 23:00:00,0,0.7459254,0.0133620002702064,0.7459254,0,0,0.7459254,0.126807318,0.126807318,0
0,2020-01-10 00:00:00,0,0.7639236,0.0133253777535583,0.7639236,0,0,0.7639236,0.129867012,0.129867012,0
1,2020-01-10 01:00:00,0,0.4479552,0.013968306379158,0.4479552,0,0,0.4479552,0.076152384,0.076152384,0
2,2020-01-10 02:00:00,0,0.2979702,0.014273494017892,0.2979702,0,0,0.2979702,0.050654934,0.050654934,0
3,2020-01-10 03:00:00,0,0.204,0.0144647034284955,0.204,0,0,0.204,0.03468,0.03468,0
4,2020-01-10 04:00:00,0,0.177,0.0145196426973945,0.177,0,0,0.177,0.03009,0.03009,0
5,2020-01-10 05:00:00,0.009,0.21,0.0144524947020734,0.201,0,0,0.201,0.03417,0.03417,0
6,2020-01-10 06:00:00,0.006,0.324,0.0142205289000554,0.318,0,0,0.318,0.05406,0.05406,0
7,2020-01-10 07:00:00,0.012,0.837,0.0131766827909742,0.825,0,0,0.825,0.14025,0.14025,0
8,2020-01-10 08:00:00,0.009,2.202,0.0103991975299687,2.193,0,0,2.193,0.37281,0.37281,0
9,2020-01-10 09:00:00,0.012,0.858,0.0131339522484972,0.846,0,0,0.846,0.14382,0.14382,0
10,2020-01-10 10:00:00,0.165,1.572,0.0116811138042789,1.407,0,0,1.407,0.23919,0.23919,0
11,2020-01-10 11:00:00,0.384,1.038,0.0127676904558371,0.654,0,0,0.654,0.11118,0.11118,0
12,2020-01-10 12:00:00,0.498,0.495,0.0138725801970283,0,0.003,0.003,0,0,0,0
13,2020-01-10 13:00:00,0.474,0.555,0.0137504929328083,0.081,0,0,0.078,0.01377,0.01326,0.00051
14,2020-01-10 14:00:00,0.396,0.528,0.0138054322017073,0.132,0,0,0.132,0.02244,0.02244,0
15,2020-01-10 15:00:00,0.27,2.772,0.00923936851987844,2.502,0,0,2.502,0.42534,0.42534,0
16,2020-01-10 16:00:00,0.045,2.166,0.0104724498885007,2.121,0,0,2.121,0.36057,0.36057,0
17,2020-01-10 17:00:00,0.009,0.459,0.0139458325555604,0.45,0,0,0.45,0.0765,0.0765,0
18,2020-01-10 18:00:00,0.012,13.728,0.0130537659266979,13.716,0,0,13.716,2.33172,2.33172,0
19,2020-01-10 19:00:00,0.015,3.5904,0.00757409823591732,3.5754,0,0,3.5754,0.607818,0.607818,0
20,2020-01-10 20:00:00,0.006,6.6726,0.00130247547293471,6.6666,0,0,6.6666,1.133322,1.133322,0
21,2020-01-10 21:00:00,0.015,2.748,0.00928820342556645,2.733,0,0,2.733,0.46461,0.46461,0
22,2020-01-10 22:00:00,0.006,2.892,0.0089951939914384,2.886,0,0,2.886,0.49062,0.49062,0
23,2020-01-10 23:00:00,0,1.9478052,0.0109164299918179,1.9478052,0,0,1.9478052,0.331126884,0.331126884,0
0,2020-01-11 00:00:00,0,1.9378062,0.0109367758344002,1.9378062,0,0,1.9378062,0.329427054,0.329427054,0
1,2020-01-11 01:00:00,0,0.5359464,0.013789262964434,0.5359464,0,0,0.5359464,0.091110888,0.091110888,0
2,2020-01-11 02:00:00,0,0.2959704,0.0142775631864084,0.2959704,0,0,0.2959704,0.050314968,0.050314968,0
3,2020-01-11 03:00:00,0,0.453,0.0139580412819824,0.453,0,0,0.453,0.07701,0.07701,0
4,2020-01-11 04:00:00,0,0.216,0.0144402859756514,0.216,0,0,0.216,0.03672,0.03672,0
5,2020-01-11 05:00:00,0.015,0.237,0.0143975554331744,0.222,0,0,0.222,0.03774,0.03774,0
